PROGRAMNAME	PROGRAMURL	CATALOGNAME	LASTUPDATED	NAME	KEYWORDS	DESCRIPTION	SKU	MANUFACTURER	MANUFACTURERID	UPC	ISBN	CURRENCY	SALEPRICE	PRICE	RETAILPRICE	FROMPRICE	BUYURL	IMPRESSIONURL	IMAGEURL	ADVERTISERCATEGORY	THIRDPARTYID	THIRDPARTYCATEGORY	AUTHOR	ARTIST	TITLE	PUBLISHER	LABEL	FORMAT	SPECIAL	GIFT	PROMOTIONALTEXT	STARTDATE	ENDDATE	OFFLINE	ONLINE	INSTOCK	CONDITION	WARRANTY	STANDARDSHIPPINGCOST
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Replumping Serum Foundation - Beige 200	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Botanical Beauty InnovationAn unprecedented formula, 'half-foundation/half-serum', infused with roses, packed with benefits.The 1st Yves Rocher foundation, which concentrates, at the heart of a formula of sensorial touch and maximum comfort, 4 high performance rose extracts,Your moisturized and plumped skin regains its suppleness for an instantaneous, &ldquo;fresh complexion&rdquo; effect.Signs of fatigue and fine lines are reduced, skin texture is smoothed. Your complexion is perfectly even without a &ldquo;mask&rdquo; effect.Formula tested under dermatological supervision.The Plus: Its pump-bottle dispenses the correct dose.1.0 fl.oz. pump-bottle / 30 ml	46410	Yves Rocher	46410			USD	14.00	25.00			http://www.tkqlhce.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D46410%2F%7Ecategory_id%3D2510%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/46410.jpg	Makeup																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Replumping Serum Foundation - Beige 300	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Botanical Beauty InnovationAn unprecedented formula, 'half-foundation/half-serum', infused with roses, packed with benefits.The 1st Yves Rocher foundation, which concentrates, at the heart of a formula of sensorial touch and maximum comfort, 4 high performance rose extracts,Your moisturized and plumped skin regains its suppleness for an instantaneous, &ldquo;fresh complexion&rdquo; effect.Signs of fatigue and fine lines are reduced, skin texture is smoothed. Your complexion is perfectly even without a &ldquo;mask&rdquo; effect.Formula tested under dermatological supervision.The Plus: Its pump-bottle dispenses the correct dose.1.0 fl.oz. pump-bottle / 30 ml	46478	Yves Rocher	46478			USD	14.00	25.00			http://www.dpbolvw.net/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D46478%2F%7Ecategory_id%3D2510%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/46478.jpg	Makeup																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Replumping Serum Foundation - Beige 400	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Botanical Beauty InnovationAn unprecedented formula, 'half-foundation/half-serum', infused with roses, packed with benefits.The 1st Yves Rocher foundation, which concentrates, at the heart of a formula of sensorial touch and maximum comfort, 4 high performance rose extracts,Your moisturized and plumped skin regains its suppleness for an instantaneous, &ldquo;fresh complexion&rdquo; effect.Signs of fatigue and fine lines are reduced, skin texture is smoothed. Your complexion is perfectly even without a &ldquo;mask&rdquo; effect.Formula tested under dermatological supervision.The Plus: Its pump-bottle dispenses the correct dose.1.0 fl.oz. pump-bottle / 30 ml	46566	Yves Rocher	46566			USD	14.00	25.00			http://www.jdoqocy.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D46566%2F%7Ecategory_id%3D2510%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/46566.jpg	Makeup																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	09/25/2012	Benny Bear	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Every child loves a teddy to cuddle and share their secrets with.Benny Bear is the perfect companion with his unruly hair, soft plush body and gorgeous gingham soles and bow!6.5&rsquo;&rsquo;/16.5 cm in sitting position	81283	Yves Rocher	81283			USD	8.00	8.00			http://www.tkqlhce.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D81283%2F%7Ecategory_id%3D9400%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/81283.jpg	Gift Ideas																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Rich Cream Cleanser	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	The comfort of a cream cleanser, with a bonus re-nutritive effect.Result:- clean, intensely nourished skin, comfortable and visibly smootherFace &amp; eyesTested under dermatological and ophthalmological supervision.5.0 fl. oz. Tube / 150 ml	87880	Yves Rocher	87880			USD	9.50	16.50			http://www.anrdoezrs.net/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D87880%2F%7Ecategory_id%3D1540%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/87880.jpg	Skin Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	02/27/2012	Iris Noir Perfumed Shower Gel	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Rediscover the vibrant and fascinating fragrance of Iris Noir by Yves Rocher Eau de parfum.Under your shower or in your bath, this perfumed gel turns into a creamy and light foam leaving your skin soft and wraps it with its elegant, woody floral notes.Offer precious pampering in a lush, lathering infused with the prestige scent of mystery and grace.6.7 fl.oz. Bottle / 200 ml	36261	Yves Rocher	36261			USD	25.00	25.00			http://www.kqzyfj.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D36261%2F%7Ecategory_id%3D6760%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/36261.jpg	Bath & Shower																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	02/27/2012	Replenishing Shampoo	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Nutrition for dry hairNourish and repair dry, damaged hair to silky-softness, supple body and glossy shine. Enriched with botanical liposomes, this new formula will transport nourishment and hydration, as it forms a protective barrier around each hair fiber, leaving hair silky soft.In addition to the Phytum Nutrition Replenishing Shampoo, also try the Replenishing Conditioner for optimal results.6.7 fl.oz. Bottle / 200 ml	31382	Yves Rocher	31382			USD	2.48	5.00			http://www.kqzyfj.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D31382%2F%7Ecategory_id%3D5450%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/31382.jpg	Hair Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Exfoliating Foam Cleanser	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	The freshness of a rinse-off cleanser with a bonus new skin effect.Results:- intensely clean skin- refined skin texture- revived radianceFace onlyTested under dermatological supervision.5.0 fl. oz. Tube / 150 ml	87607	Yves Rocher	87607			USD	8.00	14.50			http://www.kqzyfj.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D87607%2F%7Ecategory_id%3D1540%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/87607.jpg	Skin Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Laotian Lotus Flower Liquid Hand Soap	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Stroll through Laotian water gardens and discover the soothing delicate scent of the Lotus flower&hellip; Enriched with Laotian Lotus flower water, this liquid soap gently cleanses hands and leaves them soft and pleasantly scented.pH neutral for skin. Tested under dermatological supervision.8.4 fl.oz. Pump-bottle / 250 ml	85671	Yves Rocher	85671			USD	5.00	5.00			http://www.dpbolvw.net/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D85671%2F%7Ecategory_id%3D6220%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/85671.jpg	Bath & Shower																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	02/06/2012	Italian Mandarin Fizzy Bath Cube	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Bask in beauty this Christmas with the limited edition Les Plaisirs Nature Italian Mandarin collection.Immerse yourself in a bath delectably scented with Italian mandarin and feel truly relaxed for the holidays this winter! Dissolve this bath cube in water for a colourful bath full of soft tiny bubbles that gently perfume your skin.The Plus: a vitamin-rich escape in the cold winter months!0.7 oz. Cube / 20 g	06364	Yves Rocher	06364			USD	1.00	2.00			http://www.dpbolvw.net/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D06364%2F%7Ecategory_id%3D6530%3FshopId%3DPAR	http://www.lduhtrp.net/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/06364.jpg	Bath & Shower																YES			
